HEX
125 15 15
Sheep 125 5 3
CyberSheep 125 8 0
Grass 125 14 14
MilkWeed 123 4 8
MilkWeed 123 4 7
MilkWeed 122 2 9
Grass 119 13 14
MilkWeed 119 5 7
MilkWeed 118 1 9
MilkWeed 118 4 6
MilkWeed 117 4 5
MilkWeed 116 2 10
MilkWeed 115 1 10
MilkWeed 115 2 11
Grass 113 12 14
MilkWeed 112 2 12
Grass 112 11 13
Grass 111 13 13
MilkWeed 111 6 6
Grass 110 12 13
MilkWeed 110 1 13
MilkWeed 109 3 7
MilkWeed 109 5 6
MilkWeed 109 1 8
MilkWeed 109 3 5
MilkWeed 109 5 5
MilkWeed 109 5 4
MilkWeed 109 3 10
MilkWeed 108 0 11
MilkWeed 108 3 12
MilkWeed 108 3 6
MilkWeed 107 1 11
MilkWeed 105 4 9
MilkWeed 105 6 7
MilkWeed 105 0 9
MilkWeed 104 2 8
MilkWeed 103 3 11
MilkWeed 103 2 13
MilkWeed 103 1 12
MilkWeed 103 3 9
MilkWeed 102 5 8
MilkWeed 102 4 4
Grass 102 11 12
MilkWeed 102 3 8
MilkWeed 102 3 13
MilkWeed 102 2 14
MilkWeed 101 2 7
Grass 100 11 14
MilkWeed 100 6 5
MilkWeed 100 4 11
MilkWeed 99 0 10
MilkWeed 98 7 6
MilkWeed 98 0 12
MilkWeed 97 6 8
MilkWeed 97 7 7
MilkWeed 97 3 14
MilkWeed 97 4 10
MilkWeed 97 4 13
MilkWeed 96 0 13
Grass 95 14 12
MilkWeed 95 0 8
MilkWeed 94 5 10
MilkWeed 94 5 12
MilkWeed 93 6 4
MilkWeed 93 5 9
MilkWeed 93 1 14
MilkWeed 92 1 7
MilkWeed 92 4 14
MilkWeed 92 4 12
MilkWeed 92 6 12
MilkWeed 92 5 11
MilkWeed 92 6 3
Grass 91 12 12
MilkWeed 91 0 7
MilkWeed 91 5 2
MilkWeed 91 7 3
MilkWeed 90 5 14
MilkWeed 90 5 1
MilkWeed 89 6 2
MilkWeed 89 6 10
MilkWeed 88 5 13
Grass 87 14 13
MilkWeed 87 2 6
MilkWeed 87 7 8
MilkWeed 87 5 0
MilkWeed 87 6 14
MilkWeed 86 7 5
MilkWeed 86 8 7
MilkWeed 86 7 4
MilkWeed 86 6 9
MilkWeed 86 6 1
MilkWeed 86 8 8
MilkWeed 85 8 6
MilkWeed 85 6 13
MilkWeed 84 0 14
MilkWeed 84 7 13
MilkWeed 83 1 5
MilkWeed 82 3 3
Grass 82 11 11
MilkWeed 82 1 6
MilkWeed 82 9 8
MilkWeed 82 9 6
MilkWeed 81 3 4
MilkWeed 81 6 11
MilkWeed 81 7 2
MilkWeed 81 0 6
MilkWeed 81 8 9
MilkWeed 80 7 14
MilkWeed 80 8 5
MilkWeed 80 8 4
MilkWeed 80 7 9
MilkWeed 80 7 1
MilkWeed 80 8 12
MilkWeed 80 0 5
Grass 79 10 13
MilkWeed 79 8 2
MilkWeed 79 4 0
MilkWeed 79 7 10
MilkWeed 79 9 5
MilkWeed 79 2 4
MilkWeed 78 2 5
MilkWeed 78 7 12
MilkWeed 78 1 4
MilkWeed 78 0 4
MilkWeed 78 8 10
MilkWeed 78 7 11
